"Buyer1","buyer1@purdue.edu","password1234","b",""
"Buyer2","email2@email.com","password2","b",""
"Seller1","email3@email.com","password3","s","","storeName,Adidas"
"Seller2","email5@email.com","password5","s","","r1"
"Buyer3","email4@email.com","password4","b",""
"Pj","pj@gmail.com","fire","b",""
"Jlen","jlen@gmail.com","water","b",""
"Alik","alik@gmail.com","fire","b",""
"Mann","mann72@purdue.edu","12345","b",""
"Den","den@gmail.com","tree32","b","Buyer1"
"Pow","pow@gmail.com","apple54","s","","Pow's Store,Pow's Second Store"
"kevbby","kev@gmail.com","pria","b",""
"Alan","alan543@gmail.com","an543!","s","","Alan's Store"
"water","water@gmail.com","earth","b","Alan"
"Jake","jake11@gmail.com","popcorn11","s","water,Buyer1,Jlen","The new store,The newer store"
